TestSetFileName,Success,Managed,Fails,Skipped,Dependencies,Crashes,UnsupportedTypes,UnsupportedErrorCodes,Sum,Processed,Matches
fn/abs.xml,16,15,17,0,0,3,120,12,183,183,OK
fn/adjust-date-to-timezone.xml,4,20,6,0,0,6,0,5,41,41,OK
fn/adjust-dateTime-to-timezone.xml,4,29,0,0,0,8,0,7,48,48,OK
fn/adjust-time-to-timezone.xml,4,27,2,0,0,6,0,3,42,42,OK
fn/analyze-string.xml,0,0,4,0,4,23,0,3,34,34,OK
fn/apply.xml,0,0,2,0,0,14,0,1,17,17,OK
fn/available-environment-variables.xml,0,0,0,0,4,7,0,0,11,11,OK
fn/avg.xml,13,42,0,0,0,23,117,44,239,239,OK
fn/base-uri.xml,1,0,10,0,0,71,0,0,82,82,OK
fn/boolean.xml,16,41,4,0,2,18,47,15,143,143,OK
fn/ceiling.xml,12,8,13,0,0,4,50,0,87,87,OK
fn/codepoint-equal.xml,8,17,1,0,0,10,0,0,36,36,OK
fn/codepoints-to-string.xml,22,15,7,0,8,9,0,18,79,79,OK
fn/collation-key.xml,0,0,1,0,2,25,0,0,28,28,OK
fn/collection.xml,1,0,4,0,12,4,0,12,33,33,OK
fn/compare.xml,10,0,1,0,9,73,1,2,96,96,OK
fn/concat.xml,4,31,10,0,1,5,45,0,96,96,OK
fn/contains.xml,9,27,0,0,7,23,0,1,67,67,OK
fn/contains-token.xml,0,0,0,0,4,33,0,0,37,37,OK
fn/count.xml,20,151,3,0,0,48,94,0,316,316,OK
fn/current-date.xml,4,17,0,0,0,5,0,0,26,26,OK
fn/current-dateTime.xml,4,19,0,0,0,4,0,0,27,27,OK
fn/current-time.xml,4,15,0,0,0,5,0,0,24,24,OK
fn/data.xml,3,0,1,0,10,21,27,3,65,65,OK
fn/dateTime.xml,2,0,1,0,0,45,0,4,52,52,OK
fn/day-from-date.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/day-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/days-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/deep-equal.xml,38,56,3,0,17,86,60,3,263,263,OK
fn/default-collation.xml,2,0,1,0,0,4,0,0,7,7,OK
fn/default-language.xml,0,0,0,0,3,3,0,0,6,6,OK
fn/distinct-values.xml,12,17,20,0,0,8,46,3,106,106,OK
fn/doc.xml,1,0,10,0,0,25,1,8,45,45,OK
fn/doc-available.xml,1,0,3,0,0,7,0,6,17,17,OK
fn/document-uri.xml,2,0,14,0,0,37,0,1,54,54,OK
fn/element-with-id.xml,0,0,0,0,0,5,0,0,5,5,OK
fn/empty.xml,9,10,0,0,0,8,27,0,54,54,OK
fn/encode-for-uri.xml,10,17,1,0,0,1,0,0,29,29,OK
fn/ends-with.xml,8,27,0,0,3,15,0,2,55,55,OK
fn/environment-variable.xml,1,0,3,0,4,4,0,0,12,12,OK
fn/error.xml,1,0,8,0,0,4,0,85,98,98,OK
fn/escape-html-uri.xml,3,0,1,0,0,30,0,0,34,34,OK
fn/exactly-one.xml,5,9,2,0,0,5,27,6,54,54,OK
fn/exists.xml,14,10,0,0,0,7,27,0,58,58,OK
fn/false.xml,0,0,1,0,1,23,0,0,25,25,OK
fn/filter.xml,4,1,7,0,8,12,0,3,35,35,OK
fn/floor.xml,13,8,12,0,0,4,51,0,88,88,OK
fn/fold-left.xml,0,0,5,0,0,21,0,0,26,26,OK
fn/fold-right.xml,0,0,5,0,0,20,0,0,25,25,OK
fn/for-each.xml,0,0,3,0,0,14,0,0,17,17,OK
fn/for-each-pair.xml,6,1,13,0,2,12,0,15,49,49,OK
fn/format-date.xml,2,1,12,0,32,65,0,8,120,120,OK
fn/format-dateTime.xml,2,0,3,0,13,73,0,1,92,92,OK
fn/format-integer.xml,0,0,1,0,26,38,0,12,77,77,OK
fn/format-number.xml,1,0,3,0,4,226,1,27,262,262,OK
fn/format-time.xml,3,0,9,0,0,69,0,10,91,91,OK
fn/function-lookup.xml,6,0,12,0,12,638,0,6,674,674,OK
fn/function-arity.xml,4,1,6,0,2,9,0,1,23,23,OK
fn/function-name.xml,4,1,5,0,1,10,0,3,24,24,OK
fn/generate-id.xml,0,0,2,0,8,19,0,0,29,29,OK
fn/has-children.xml,0,0,4,0,10,20,0,3,37,37,OK
fn/head.xml,1,0,0,0,2,5,0,0,8,8,OK
fn/hours-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/hours-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/hours-from-time.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/id.xml,0,0,7,0,32,13,0,9,61,61,OK
fn/idref.xml,0,0,7,0,40,5,0,2,54,54,OK
fn/implicit-timezone.xml,2,0,0,0,0,21,0,4,27,27,OK
fn/innermost.xml,2,0,2,0,13,42,0,0,59,59,OK
fn/index-of.xml,16,8,10,0,0,10,8,1,53,53,OK
fn/insert-before.xml,16,4,1,0,0,17,4,1,43,43,OK
fn/in-scope-prefixes.xml,2,0,8,0,4,48,0,0,62,62,OK
fn/iri-to-uri.xml,5,0,3,0,0,37,1,1,47,47,OK
fn/json-to-xml.xml,0,0,8,0,25,31,0,30,94,94,OK
fn/lang.xml,1,0,4,0,2,37,0,2,46,46,OK
fn/last.xml,25,15,0,0,0,25,0,1,66,66,OK
fn/load-xquery-module.xml,0,0,13,0,22,37,0,10,82,82,OK
fn/local-name.xml,1,0,7,0,1,49,0,2,60,60,OK
fn/local-name-from-QName.xml,3,0,8,0,1,15,0,1,28,28,OK
fn/lower-case.xml,4,21,0,0,1,1,0,0,27,27,OK
fn/max.xml,18,34,3,0,0,33,106,14,208,208,OK
fn/matches.xml,3,26,5,0,0,122,0,10,166,166,OK
fn/matches.re.xml,0,107,129,0,3,718,0,53,1010,1010,OK
fn/min.xml,18,32,4,0,0,32,107,14,207,207,OK
fn/minutes-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/minutes-from-duration.xml,3,29,0,0,0,0,0,0,32,32,OK
fn/minutes-from-time.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/month-from-date.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/months-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/month-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/name.xml,1,0,2,0,1,28,0,2,34,34,OK
fn/namespace-uri.xml,1,0,4,0,0,27,0,1,33,33,OK
fn/namespace-uri-for-prefix.xml,2,0,0,0,0,27,0,0,29,29,OK
fn/namespace-uri-from-QName.xml,3,0,8,0,1,17,0,1,30,30,OK
fn/nilled.xml,2,0,4,0,30,28,0,0,64,64,OK
fn/node-name.xml,2,0,10,0,1,31,0,0,44,44,OK
fn/normalize-space.xml,8,13,1,0,4,12,0,1,39,39,OK
fn/normalize-unicode.xml,16,14,0,0,10,4,0,4,48,48,OK
fn/not.xml,3,22,3,0,0,25,28,2,83,83,OK
fn/number.xml,3,13,12,0,0,8,30,0,66,66,OK
fn/one-or-more.xml,7,7,3,0,0,5,27,7,56,56,OK
fn/outermost.xml,2,0,2,0,13,41,0,0,58,58,OK
